date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-09-01,24.8,22.8,30,0.3,0,202,10.1,,1016.9,
2024-09-02,24.7,19.4,27.2,0,0,203,17.3,,1017.2,
2024-09-03,20.7,15.6,25,0,0,11,16.2,,1020.9,
2024-09-04,20.4,14.4,25.6,0,0,63,10.8,,1029.1,
2024-09-05,21.2,16.1,26.7,0,,74,11.2,,1026.2,
2024-09-06,22.1,18.3,26.1,0,0,96,6.8,,1018.3,
2024-09-07,21.1,16.7,25,0.3,0,241,13.3,,1012.3,
2024-09-08,18.8,13.9,24.4,0,0,302,13.3,,1018.5,
2024-09-09,19.7,13.3,26.7,0,0,259,6.1,,1020.6,
2024-09-10,22,15,30.6,0,0,341,9,,1019.7,
2024-09-11,23.8,17.8,30,0,0,80,7.9,,1021,
2024-09-12,23.4,18.9,28.3,0,0,106,9.4,,1022.6,
2024-09-13,23.2,18.9,28.9,0,0,56,11.2,,1023,
2024-09-14,23.9,18.3,30,0,0,57,13.3,,1023,
2024-09-15,22.8,17.8,28.9,0,0,68,13.7,,1025.1,
2024-09-16,21.7,17.2,26.1,0,0,51,19.1,,1023.9,
2024-09-17,22.9,20.6,27.2,2.5,0,57,19.1,,1019.7,
2024-09-18,22.6,21.1,25,8.4,0,49,16.9,,1015.7,
2024-09-19,24.3,21.1,29.4,0,0,2,11.5,,1012.7,
2024-09-20,24.2,18.3,30,0,0,47,9.4,,1013,
2024-09-21,23.9,20,28.3,0,0,166,13.7,,1014.3,
2024-09-22,22.4,19.4,25,8.1,0,96,11.2,,1015,
2024-09-23,20.3,17.8,21.1,2.3,0,137,12.6,,1016.2,
2024-09-24,18.8,17.2,21.1,11.9,0,92,9.4,,1017.9,
2024-09-25,20.5,18.3,23.3,2,0,109,10.4,,1017.6,
2024-09-26,23.9,22.2,27.8,14.5,0,172,7.6,,1016.5,
2024-09-27,24.1,23.3,26.1,3.3,0,80,15.5,,1012.1,
2024-09-28,25.4,22.2,29.4,1.8,0,130,11.5,,1009.9,
2024-09-29,21.6,20,22.2,1.3,0,46,15.5,,1013.3,
2024-09-30,19.6,18.9,20,2,0,48,15.5,,1015.4,
